signature_profile,hash_algorithm,bucket,benchmark_scenario,storage_state_label,measured_runs_total,measured_runs_success,measured_runs_failed,scenario_success_rate,verify_applicable_runs,verify_ok_runs,verify_applicable_success_rate,verify_success_rate,server_telemetry_configured,server_telemetry_coverage,setup_upload_ms_median,setup_upload_ms_iqr,setup_upload_ms_p95,setup_upload_ms_ci95_low,setup_upload_ms_ci95_high,setup_process_ms_median,setup_process_ms_iqr,setup_process_ms_p95,setup_process_ms_ci95_low,setup_process_ms_ci95_high,upload_ms_median,upload_ms_iqr,upload_ms_p95,upload_ms_ci95_low,upload_ms_ci95_high,process_ms_median,process_ms_iqr,process_ms_p95,process_ms_ci95_low,process_ms_ci95_high,verify_ms_median,verify_ms_iqr,verify_ms_p95,verify_ms_ci95_low,verify_ms_ci95_high,total_ms_median,total_ms_iqr,total_ms_p95,total_ms_ci95_low,total_ms_ci95_high,server_process_gateway_ms_median,server_process_gateway_ms_iqr,server_process_gateway_ms_p95,server_process_gateway_ms_ci95_low,server_process_gateway_ms_ci95_high,server_verify_gateway_ms_median,server_verify_gateway_ms_iqr,server_verify_gateway_ms_p95,server_verify_gateway_ms_ci95_low,server_verify_gateway_ms_ci95_high,server_hash_ms_median,server_hash_ms_iqr,server_hash_ms_p95,server_hash_ms_ci95_low,server_hash_ms_ci95_high,server_rsa_sign_ms_median,server_rsa_sign_ms_iqr,server_rsa_sign_ms_p95,server_rsa_sign_ms_ci95_low,server_rsa_sign_ms_ci95_high,server_eddsa_sign_ms_median,server_eddsa_sign_ms_iqr,server_eddsa_sign_ms_p95,server_eddsa_sign_ms_ci95_low,server_eddsa_sign_ms_ci95_high,server_ecdsa_sign_ms_median,server_ecdsa_sign_ms_iqr,server_ecdsa_sign_ms_p95,server_ecdsa_sign_ms_ci95_low,server_ecdsa_sign_ms_ci95_high,server_hmac_sign_ms_median,server_hmac_sign_ms_iqr,server_hmac_sign_ms_p95,server_hmac_sign_ms_ci95_low,server_hmac_sign_ms_ci95_high,server_ml_dsa_sign_ms_median,server_ml_dsa_sign_ms_iqr,server_ml_dsa_sign_ms_p95,server_ml_dsa_sign_ms_ci95_low,server_ml_dsa_sign_ms_ci95_high,server_slh_dsa_sign_ms_median,server_slh_dsa_sign_ms_iqr,server_slh_dsa_sign_ms_p95,server_slh_dsa_sign_ms_ci95_low,server_slh_dsa_sign_ms_ci95_high,server_fn_dsa_sign_ms_median,server_fn_dsa_sign_ms_iqr,server_fn_dsa_sign_ms_p95,server_fn_dsa_sign_ms_ci95_low,server_fn_dsa_sign_ms_ci95_high,server_eddsa_verify_ms_median,server_eddsa_verify_ms_iqr,server_eddsa_verify_ms_p95,server_eddsa_verify_ms_ci95_low,server_eddsa_verify_ms_ci95_high,server_ecdsa_verify_ms_median,server_ecdsa_verify_ms_iqr,server_ecdsa_verify_ms_p95,server_ecdsa_verify_ms_ci95_low,server_ecdsa_verify_ms_ci95_high,server_hmac_verify_ms_median,server_hmac_verify_ms_iqr,server_hmac_verify_ms_p95,server_hmac_verify_ms_ci95_low,server_hmac_verify_ms_ci95_high,server_ml_dsa_verify_ms_median,server_ml_dsa_verify_ms_iqr,server_ml_dsa_verify_ms_p95,server_ml_dsa_verify_ms_ci95_low,server_ml_dsa_verify_ms_ci95_high,server_slh_dsa_verify_ms_median,server_slh_dsa_verify_ms_iqr,server_slh_dsa_verify_ms_p95,server_slh_dsa_verify_ms_ci95_low,server_slh_dsa_verify_ms_ci95_high,server_fn_dsa_verify_ms_median,server_fn_dsa_verify_ms_iqr,server_fn_dsa_verify_ms_p95,server_fn_dsa_verify_ms_ci95_low,server_fn_dsa_verify_ms_ci95_high,server_verify_ms_median,server_verify_ms_iqr,server_verify_ms_p95,server_verify_ms_ci95_low,server_verify_ms_ci95_high,server_total_ms_median,server_total_ms_iqr,server_total_ms_p95,server_total_ms_ci95_low,server_total_ms_ci95_high,manifest_size_median,manifest_size_iqr,manifest_size_p95,manifest_size_ci95_low,manifest_size_ci95_high,manifest_core_bytes_median,manifest_core_bytes_iqr,manifest_core_bytes_p95,manifest_core_bytes_ci95_low,manifest_core_bytes_ci95_high,manifest_core_cbor_bytes_median,manifest_core_cbor_bytes_iqr,manifest_core_cbor_bytes_p95,manifest_core_cbor_bytes_ci95_low,manifest_core_cbor_bytes_ci95_high,manifest_envelope_bytes_median,manifest_envelope_bytes_iqr,manifest_envelope_bytes_p95,manifest_envelope_bytes_ci95_low,manifest_envelope_bytes_ci95_high,rsa_signature_bytes_median,rsa_signature_bytes_iqr,rsa_signature_bytes_p95,rsa_signature_bytes_ci95_low,rsa_signature_bytes_ci95_high,eddsa_signature_bytes_median,eddsa_signature_bytes_iqr,eddsa_signature_bytes_p95,eddsa_signature_bytes_ci95_low,eddsa_signature_bytes_ci95_high,ecdsa_signature_bytes_median,ecdsa_signature_bytes_iqr,ecdsa_signature_bytes_p95,ecdsa_signature_bytes_ci95_low,ecdsa_signature_bytes_ci95_high,hmac_signature_bytes_median,hmac_signature_bytes_iqr,hmac_signature_bytes_p95,hmac_signature_bytes_ci95_low,hmac_signature_bytes_ci95_high,ml_dsa_signature_bytes_median,ml_dsa_signature_bytes_iqr,ml_dsa_signature_bytes_p95,ml_dsa_signature_bytes_ci95_low,ml_dsa_signature_bytes_ci95_high,slh_dsa_signature_bytes_median,slh_dsa_signature_bytes_iqr,slh_dsa_signature_bytes_p95,slh_dsa_signature_bytes_ci95_low,slh_dsa_signature_bytes_ci95_high,fn_dsa_signature_bytes_median,fn_dsa_signature_bytes_iqr,fn_dsa_signature_bytes_p95,fn_dsa_signature_bytes_ci95_low,fn_dsa_signature_bytes_ci95_high,signature_size_median,signature_size_iqr,signature_size_p95,signature_size_ci95_low,signature_size_ci95_high,manifest_overhead_pct_median,manifest_overhead_pct_iqr,manifest_overhead_pct_p95,manifest_overhead_pct_ci95_low,manifest_overhead_pct_ci95_high,signature_overhead_pct_median,signature_overhead_pct_iqr,signature_overhead_pct_p95,signature_overhead_pct_ci95_low,signature_overhead_pct_ci95_high,storage_amplification_median,storage_amplification_iqr,storage_amplification_p95,storage_amplification_ci95_low,storage_amplification_ci95_high,client_total_mib_s_median,client_total_mib_s_iqr,client_total_mib_s_p95,client_total_mib_s_ci95_low,client_total_mib_s_ci95_high,server_hash_mib_s_median,server_hash_mib_s_iqr,server_hash_mib_s_p95,server_hash_mib_s_ci95_low,server_hash_mib_s_ci95_high,server_verify_mib_s_median,server_verify_mib_s_iqr,server_verify_mib_s_p95,server_verify_mib_s_ci95_low,server_verify_mib_s_ci95_high,server_total_mib_s_median,server_total_mib_s_iqr,server_total_mib_s_p95,server_total_mib_s_ci95_low,server_total_mib_s_ci95_high,ratio_vs_rsa_pss_total_median,ratio_vs_rsa_pss_server_total_median
ecdsa,blake3,100KB,sign_only,warm,100,100,0,1.0,0,0,,0.0,true,1.0,2.244388,0.3496164999999998,2.7167613,2.200465,2.2846214375,19.538505,0.5152657500000046,20.7448307,19.465871,19.656920675,2.244388,0.3496164999999998,2.7167613,2.200465,2.2846214375,19.538505,0.5152657500000046,20.7448307,19.465871,19.656920675,,,,,,21.7959995,0.652932000000007,23.2383154,21.624732,21.885313999999997,15.2471735,0.4097982499999997,16.426075749999995,15.2010419625,15.278971649999999,,,,,,0.5356745,0.0706314999999999,0.6300505500000001,0.516068,0.5473732625,,,,,,,,,,,0.4705475,0.03929325,0.6401763,0.464772,0.47686888749999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2471735,0.4097982499999997,16.426075749999995,15.2010419625,15.278971649999999,1253.0,2.0,1255.0,1253.0,1253.0,492.0,0.0,492.0,492.0,492.0,456.0,0.0,456.0,456.0,456.0,524.0,0.0,526.0,524.0,524.0,,,,,,,,,,,69.0,0.0,72.0,69.0,69.0,,,,,,,,,,,,,,,,,,,,,69.0,0.0,72.0,69.0,69.0,1.2236328125,0.001953125,1.2255859375,1.2236328125,1.2236328125,0.0673828125,0.0,0.0703125,0.0673828125,0.0673828125,1.012236328125,0.000019531249999982236,1.012255859375,1.012236328125,1.012236328125,4.480467336393179,0.1344383270765359,6.469339299756824,4.462181808312187,4.514979850647878,182.31432018341488,24.26443845238154,231.67954407023652,178.32295845605756,189.2313609834363,,,,,,6.404876610675546,0.17168460264532026,11.144058838420792,6.391323304735547,6.4243065465776485,0.8243288627472368,0.7686539896075856
eddsa,blake3,100KB,sign_only,warm,100,100,0,1.0,0,0,,0.0,true,1.0,2.213455,0.3410057499999999,2.6658518499999997,2.15004,2.2454799999999997,19.3743565,0.5282967499999955,20.1515768,19.304091,19.426742,2.213455,0.3410057499999999,2.6658518499999997,2.15004,2.2454799999999997,19.3743565,0.5282967499999955,20.1515768,19.304091,19.426742,,,,,,21.577813,0.735635000000002,22.36010345,21.482692,21.7217372,15.041798,0.4150407499999993,15.805710649999996,14.984058999999998,15.099198524999998,,,,,,0.5241180000000001,0.06759124999999999,0.63520975,0.505187,0.5345860625,,,,,,0.226775,0.04536474999999998,0.28268515,0.222136,0.233798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.041798,0.4150407499999993,15.805710649999996,14.984058999999998,15.099198524999998,1244.0,0.0,1246.0,1244.0,1244.0,492.0,0.0,492.0,492.0,492.0,456.0,0.0,456.0,456.0,456.0,524.0,0.0,526.0,524.0,524.0,,,,,,63.0,0.0,63.0,63.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,0.0,63.0,63.0,63.0,1.21484375,0.0,1.216796875,1.21484375,1.21484375,0.0615234375,0.0,0.0615234375,0.0615234375,0.0615234375,1.0121484375,0.0,1.01216796875,1.0121484375,1.0121484375,4.52577162498004,0.15386399345149382,6.6074026854370045,4.495322861827083,4.545472073184488,186.32546430127218,24.135025594949326,217.4606661476098,182.3629097767528,193.3071318145558,,,,,,6.492325737336267,0.17930681361102163,12.070385585712513,6.467435384587774,6.5164335587452165,0.8160770076574162,0.7583004183412356
fn_dsa,blake3,100KB,sign_only,warm,100,100,0,1.0,0,0,,0.0,true,1.0,2.22676,0.33836699999999986,2.7894634999999997,2.1866350125,2.28787,19.572426999999998,0.751926000000001,21.04479825,19.473707,19.743865399999997,2.22676,0.33836699999999986,2.7894634999999997,2.1866350125,2.28787,19.572426999999998,0.751926000000001,21.04479825,19.473707,19.743865399999997,,,,,,21.9113765,0.800788500000003,23.2822981,21.636263999999997,22.0191747875,15.245785999999999,0.5026072500000005,16.013838099999997,15.14945,15.295183,,,,,,0.52784,0.07351999999999992,0.6245259,0.5170368625,0.5450020000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.381741,0.05407875000000001,0.49933845,0.377027,0.39098136250000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.245785999999999,0.5026072500000005,16.013838099999997,15.14945,15.295183,2033.0,4.0,2037.0,2032.0,2033.0,493.0,0.0,493.0,493.0,493.0,457.0,0.0,457.0,457.0,457.0,524.0,0.0,526.0,524.0,524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.0,0.0,657.0,654.0,654.0,654.0,0.0,657.0,654.0,654.0,1.9853515624999998,0.003906250000000444,1.9892578125,1.984375,1.9853515624999998,0.638671875,0.0,0.6416015625,0.638671875,0.638671875,1.019853515625,0.00003906249999996447,1.019892578125,1.01984375,1.019853515625,4.456875722894634,0.16416912024732166,6.323572595788874,4.4343850864168415,4.51216096568633,185.0111513271092,26.265326653704903,221.7446800824379,179.18512225643207,188.87561890762805,,,,,,6.405459450696235,0.21183545257661507,10.901998431204351,6.384763143887343,6.445890173874401,0.8286924429169458,0.7685840417309787
hmac_sha256,blake3,100KB,sign_only,warm,100,100,0,1.0,0,0,,0.0,true,1.0,2.242374,0.34637899999999977,2.7996323999999992,2.1961910125,2.300681,19.3420045,0.5296275000000001,20.12896125,19.166047,19.443313,2.242374,0.34637899999999977,2.7996323999999992,2.1961910125,2.300681,19.3420045,0.5296275000000001,20.12896125,19.166047,19.443313,,,,,,21.583617,0.7744357499999985,22.6060452,21.461769000000004,21.722627437499998,15.020313,0.4101992499999998,15.81681195,14.945878,15.088273375000002,,,,,,0.529543,0.08619224999999997,0.6451507499999999,0.515777,0.5429923624999999,,,,,,,,,,,,,,,,0.1850525,0.023087999999999997,0.22512335,0.181731,0.18775199999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.020313,0.4101992499999998,15.81681195,14.945878,15.088273375000002,1207.0,0.0,1209.0,1207.0,1207.0,498.0,0.0,498.0,498.0,498.0,462.0,0.0,462.0,462.0,462.0,524.0,0.0,526.0,524.0,524.0,,,,,,,,,,,,,,,,30.0,0.0,30.0,30.0,30.0,,,,,,,,,,,,,,,,30.0,0.0,30.0,30.0,30.0,1.1787109375,0.0,1.1806640625,1.1787109375,1.1787109375,0.029296875,0.0,0.029296875,0.029296875,0.029296875,1.011787109375,0.0,1.011806640625,1.011787109375,1.011787109375,4.5245545423891915,0.16195178579732694,5.111643863199363,4.493358100665669,4.546523049134952,184.41618582074233,29.446679233225836,215.14799274072936,179.0271190852877,188.8263159674654,,,,,,6.501615654589876,0.1776445721042359,7.643716108114383,6.4722712572998935,6.531882256905484,0.8162965160456132,0.757217297527616
ml_dsa,blake3,100KB,sign_only,warm,100,100,0,1.0,0,0,,0.0,true,1.0,2.2676015000000005,0.3812582500000006,2.75900335,2.168574,2.3247623499999994,20.046680000000002,0.9107765000000008,21.874153,19.9904812375,20.162955,2.2676015000000005,0.3812582500000006,2.75900335,2.168574,2.3247623499999994,20.046680000000002,0.9107765000000008,21.874153,19.9904812375,20.162955,,,,,,22.3078055,1.2024155000000007,24.23236695,22.178327,22.490420024999995,15.665111999999999,0.6967212499999995,16.74924095,15.573035587500001,15.807924912499999,,,,,,0.5325135,0.07898549999999999,0.63198795,0.5192330000000001,0.5498875249999999,,,,,,,,,,,,,,,,,,,,,0.676118,0.4672035,1.65508675,0.603942,0.725841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.665111999999999,0.6967212499999995,16.74924095,15.573035587500001,15.807924912499999,5571.0,0.0,5573.0,5571.0,5571.0,493.0,0.0,493.0,493.0,493.0,457.0,0.0,457.0,457.0,457.0,524.0,0.0,526.0,524.0,524.0,,,,,,,,,,,,,,,,,,,,,3309.0,0.0,3309.0,3309.0,3309.0,,,,,,,,,,,3309.0,0.0,3309.0,3309.0,3309.0,5.4404296875,0.0,5.4423828125,5.4404296875,5.4404296875,3.2314453125000004,0.0,3.2314453125000004,3.2314453125000004,3.2314453125000004,1.054404296875,0.0,1.054423828125,1.054404296875,1.054404296875,4.377672158837304,0.2364103561948916,6.104717504537324,4.341584305214694,4.401857420702526,183.38767430455528,27.067575290223687,216.04336836990524,177.51098807217045,188.07789566533714,,,,,,6.233996655318442,0.2761968974024702,10.2380483155964,6.173177619494386,6.270843682399302,0.8436854633898094,0.7897234747443297
rsa_pss,blake3,100KB,sign_only,warm,100,100,0,1.0,0,0,,0.0,true,1.0,2.227225,0.30528274999999994,2.86723485,2.178884,2.2694630499999997,24.296565,0.7949107500000032,25.4185257,24.093145,24.379749999999998,2.227225,0.30528274999999994,2.86723485,2.178884,2.2694630499999997,24.296565,0.7949107500000032,25.4185257,24.093145,24.379749999999998,,,,,,26.440903,1.049445249999998,28.085860400000005,26.324244,26.575227849999997,19.836199,0.6775937499999962,20.831639149999997,19.707267,19.97541745,,,,,,0.5304595,0.08468324999999999,0.6330692499999999,0.508273,0.5469040125,4.676074,0.1858720000000007,5.10809775,4.655431,4.697375425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.836199,0.6775937499999962,20.831639149999997,19.707267,19.97541745,1672.0,0.0,1674.0,1672.0,1672.0,494.0,0.0,494.0,494.0,494.0,458.0,0.0,458.0,458.0,458.0,524.0,0.0,526.0,524.0,524.0,384.0,0.0,384.0,384.0,384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.0,0.0,384.0,384.0,384.0,1.6328125,0.0,1.6347656249999998,1.6328125,1.6328125,0.375,0.0,0.375,0.375,0.375,1.016328125,0.0,1.01634765625,1.016328125,1.016328125,3.693378329930357,0.14523285364428373,5.079633923094284,3.6740258482120605,3.708909275425699,184.0986194041863,29.82780804909339,226.12461019989584,178.4536287817322,192.12784947113994,,,,,,4.92313521375001,0.16773016374273908,7.677865091258079,4.888511771448743,4.9553421080660245,,
slh_dsa,blake3,100KB,sign_only,warm,100,100,0,1.0,0,0,,0.0,true,1.0,2.2019035000000002,0.37575000000000003,2.6780092499999997,2.137572,2.2512765875,1614.169825,10.215162250000049,1629.3445729,1612.7637240000001,1615.9203239874998,2.2019035000000002,0.37575000000000003,2.6780092499999997,2.137572,2.2512765875,1614.169825,10.215162250000049,1629.3445729,1612.7637240000001,1615.9203239874998,,,,,,1616.3311305,10.047810500000196,1631.0645158999998,1614.7882989999998,1618.3244906749997,1609.6184374999998,9.475429750000103,1623.15258655,1607.788656,1611.1996350000002,,,,,,0.5282899999999999,0.06760699999999992,0.6395538000000001,0.513042,0.5429934124999999,,,,,,,,,,,,,,,,,,,,,,,,,,1592.9830505,10.240318749999915,1608.79430705,1591.299042,1594.96651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1609.6184374999998,9.475429750000103,1623.15258655,1607.788656,1611.1996350000002,11635.0,0.0,11637.0,11635.0,11635.0,494.0,0.0,494.0,494.0,494.0,458.0,0.0,458.0,458.0,458.0,524.0,0.0,526.0,524.0,524.0,,,,,,,,,,,,,,,,,,,,,,,,,,7854.0,0.0,7854.0,7854.0,7854.0,,,,,,7854.0,0.0,7854.0,7854.0,7854.0,11.3623046875,0.0,11.3642578125,11.3623046875,11.3623046875,7.669921875000001,0.0,7.669921875000001,7.669921875000001,7.669921875000001,1.113623046875,0.0,1.113642578125,1.113623046875,1.113623046875,0.060418467634107534,0.0003750984611015293,0.060743355352286706,0.06034250075008066,0.060476193727980444,184.85365580953317,23.489300280246823,215.63178698590878,179.46238238753307,190.0338534808128,,,,,,0.06067043453957053,0.00035684053559720263,0.06099955829198128,0.06060726731394326,0.06073469500473534,61.12995197251773,81.1455076398457
ecdsa,blake3,10KB,sign_only,warm,100,100,0,1.0,0,0,,0.0,true,1.0,1.594699,0.2674192499999999,2.05126985,1.539469,1.645764575,19.778167,0.6673874999999967,20.91117685,19.659264,19.915262,1.594699,0.2674192499999999,2.05126985,1.539469,1.645764575,19.778167,0.6673874999999967,20.91117685,19.659264,19.915262,,,,,,21.389098,0.6259212500000011,22.63027115,21.295179312500004,21.511785,15.356418,0.5010162499999975,16.416326100000003,15.256371,15.413295,,,,,,0.16119699999999998,0.03741,0.2063782,0.153969,0.1674676125,,,,,,,,,,,0.5139185,0.13239525000000002,0.68428725,0.497233,0.5522269375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.356418,0.5010162499999975,16.416326100000003,15.256371,15.413295,1250.0,2.0,1252.0,1250.0,1250.0,491.0,0.0,491.0,491.0,491.0,454.0,0.0,454.0,454.0,454.0,522.0,0.0,524.0,522.0,522.0,,,,,,,,,,,69.0,0.0,72.0,69.0,69.0,,,,,,,,,,,,,,,,,,,,,69.0,0.0,72.0,69.0,69.0,12.20703125,0.01953125,12.2265625,12.20703125,12.20703125,0.673828125,0.0,0.703125,0.673828125,0.673828125,1.1220703125,0.00019531249999982236,1.1222656250000003,1.1220703125,1.1220703125,0.45657022346062204,0.013367420046050404,0.4829979374825813,0.453966279413819,0.4585744314698386,60.58205755700532,13.928237889545443,76.51946519511012,58.20355337815286,63.13230248006781,,,,,,0.6359312075072197,0.02093930878927197,0.7586695036524873,0.6335839877553557,0.6394873057345712,0.8284932670366162,0.7777023865231633
eddsa,blake3,10KB,sign_only,warm,100,100,0,1.0,0,0,,0.0,true,1.0,1.5627834999999999,0.2686832499999996,1.8621889999999999,1.530614,1.6166850000000001,19.407794,0.7592214999999989,20.817717299999998,19.312153,19.510559,1.5627834999999999,0.2686832499999996,1.8621889999999999,1.530614,1.6166850000000001,19.407794,0.7592214999999989,20.817717299999998,19.312153,19.510559,,,,,,20.947752,0.8572449999999989,22.29499155,20.803044,21.19427,14.998817500000001,0.5919757500000014,16.239002850000002,14.89355,15.087303499999999,,,,,,0.168571,0.036050499999999985,0.21764179999999997,0.16150165,0.1766408625,,,,,,0.2605785,0.05136375000000004,0.32691604999999996,0.25392600000000004,0.269406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.998817500000001,0.5919757500000014,16.239002850000002,14.89355,15.087303499999999,1241.0,0.0,1243.0,1241.0,1241.0,491.0,0.0,491.0,491.0,491.0,454.0,0.0,454.0,454.0,454.0,522.0,0.0,524.0,522.0,522.0,,,,,,63.0,0.0,63.0,63.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,0.0,63.0,63.0,63.0,12.119140625,0.0,12.138671875,12.119140625,12.119140625,0.615234375,0.0,0.615234375,0.615234375,0.615234375,1.12119140625,0.0,1.12138671875,1.12119140625,1.12119140625,0.46619013676460286,0.01896788407968869,0.6906821279332173,0.46076722623614774,0.469374068004474,57.93184797480829,12.498002288790254,75.09800149262873,55.23199914032498,60.4675174301247,,,,,,0.6510930100017187,0.025741864792716895,1.1971598838400745,0.6468388099378021,0.6556949149128314,0.8113980071320825,0.7595922541816319
fn_dsa,blake3,10KB,sign_only,warm,100,100,0,1.0,0,0,,0.0,true,1.0,1.5690304999999998,0.21771000000000007,2.1186911999999998,1.545772,1.6026790000000002,19.685264000000004,0.6150347499999995,20.9520737,19.595363974999998,19.780469,1.5690304999999998,0.21771000000000007,2.1186911999999998,1.545772,1.6026790000000002,19.685264000000004,0.6150347499999995,20.9520737,19.595363974999998,19.780469,,,,,,21.2869065,0.729387500000005,22.514130650000002,21.179278999999998,21.464801800000004,15.230507,0.47981499999999855,16.311948499999996,15.12844,15.323847,,,,,,0.16465849999999999,0.04085625000000004,0.21791874999999997,0.158577,0.1729863875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4508955,0.1170365000000001,0.5564559,0.431549,0.469023425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.230507,0.47981499999999855,16.311948499999996,15.12844,15.323847,2030.0,4.0,2036.0,2030.0,2031.0,492.0,0.0,492.0,492.0,492.0,455.0,0.0,455.0,455.0,455.0,522.0,0.0,524.0,522.0,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.0,3.0,657.0,654.0,654.0,654.0,3.0,657.0,654.0,654.0,19.82421875,0.0390625,19.8828125,19.82421875,19.833984375,6.386718750000001,0.029296874999999112,6.416015625,6.386718750000001,6.386718750000001,1.1982421875,0.0003906250000000888,1.198828125,1.1982421875,1.19833984375,0.45876223968419005,0.015624491129294593,0.6633509907477173,0.4549493622288362,0.4609038747967464,59.30843577103598,14.449448692115467,77.49812568663546,56.365617153906086,61.503140547525675,,,,,,0.6411885431914006,0.02009767375729654,1.1317033708083593,0.6372828572355231,0.6450508308110974,0.8245349435159903,0.771325815815755
hmac_sha256,blake3,10KB,sign_only,warm,100,100,0,1.0,0,0,,0.0,true,1.0,1.5964714999999998,0.22737950000000007,1.9917223,1.535112,1.6237926875,19.297146,0.6793632500000015,21.43356425,19.205251,19.433012999999995,1.5964714999999998,0.22737950000000007,1.9917223,1.535112,1.6237926875,19.297146,0.6793632500000015,21.43356425,19.205251,19.433012999999995,,,,,,20.898607499999997,0.8111772499999965,22.91590215,20.809513,21.059197,14.8974325,0.46163249999999856,15.564196650000001,14.808791212500001,14.9568306125,,,,,,0.16292099999999998,0.02810275000000001,0.2011871,0.15804600000000002,0.167626275,,,,,,,,,,,,,,,,0.2085305,0.03485574999999999,0.26794085,0.200065,0.215925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8974325,0.46163249999999856,15.564196650000001,14.808791212500001,14.9568306125,1204.0,0.0,1206.0,1204.0,1204.0,497.0,0.0,497.0,497.0,497.0,460.0,0.0,460.0,460.0,460.0,522.0,0.0,524.0,522.0,522.0,,,,,,,,,,,,,,,,30.0,0.0,30.0,30.0,30.0,,,,,,,,,,,,,,,,30.0,0.0,30.0,30.0,30.0,11.7578125,0.0,11.77734375,11.7578125,11.7578125,0.29296875,0.0,0.29296875,0.29296875,0.29296875,1.117578125,0.0,1.1177734375,1.117578125,1.117578125,0.4672859434684883,0.018028158353107615,0.5666579281427392,0.4637225721379594,0.4692865710024065,59.94087361061348,10.451990629936418,71.57843711848136,58.22749903109442,61.789763739670725,,,,,,0.6555249196087087,0.020374222593674496,0.8920011768194928,0.6525938393604576,0.6594469333155781,0.8094944258140726,0.75445776536675
ml_dsa,blake3,10KB,sign_only,warm,100,100,0,1.0,0,0,,0.0,true,1.0,1.648921,0.2860784999999997,2.2156935,1.5717610000000002,1.6915166999999998,20.2108585,0.9868899999999954,21.8896281,19.969274,20.361227999999997,1.648921,0.2860784999999997,2.2156935,1.5717610000000002,1.6915166999999998,20.2108585,0.9868899999999954,21.8896281,19.969274,20.361227999999997,,,,,,21.8970755,1.242676750000001,23.556836999999998,21.761185925000003,22.0812747625,15.690705000000001,0.9192342500000006,17.4928514,15.54943,15.818835,,,,,,0.15921900000000003,0.037004999999999955,0.22161574999999997,0.15537099999999998,0.16675426250000003,,,,,,,,,,,,,,,,,,,,,0.712526,0.43598024999999996,1.944224,0.643066,0.808215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.690705000000001,0.9192342500000006,17.4928514,15.54943,15.818835,5568.0,0.0,5570.0,5568.0,5568.0,492.0,0.0,492.0,492.0,492.0,455.0,0.0,455.0,455.0,455.0,522.0,0.0,524.0,522.0,522.0,,,,,,,,,,,,,,,,,,,,,3309.0,0.0,3309.0,3309.0,3309.0,,,,,,,,,,,3309.0,0.0,3309.0,3309.0,3309.0,54.37499999999999,0.0,54.39453125,54.37499999999999,54.37499999999999,32.314453125,0.0,32.314453125,32.314453125,32.314453125,1.54375,0.0,1.5439453125,1.54375,1.54375,0.445978512222878,0.025662938839921545,0.6770098781360744,0.4422205122211466,0.4487587937768007,61.33459292133942,13.62714162031805,76.78525536555516,58.40230723687751,62.853589151128595,,,,,,0.6223832659989075,0.03650718021112587,1.1374384116181822,0.6173416057503602,0.628037490763327,0.8481694562128074,0.7946318421868259
